,channel_id,vs,category
0,UCupvZG-5ko_eiXAupbDfxWw,1.0,Verifiable
1,UChqUTb7kYRX8-EiaN3XFrSQ,1.0,Verifiable
2,UCaXkIU1QidjPwiAYu6GcHjg,1.0,Verifiable
3,UCBi2mrWuNuyYy4gbM6fU18Q,0.8862457838770045,Verifiable
4,UCeY0bbntWzzVIaj2z3QigXg,0.8862457838770045,Verifiable
5,UCxCfoSInadl-4i3F70zDt1A,0.8684412694729149,Verifiable
6,UClwkBPKzW8h_rfZWuG_kWjw,0.8390078636098719,Verifiable
7,UCXIJgqnII2ZOINSWNOGFThA,0.8185497052549243,Verifiable
8,UC2rLSYDm92QMytS9yIkT8UQ,0.8124778691060229,Verifiable
9,UCE83i5yn_YQ1HnFO027BnnQ,0.7932086749205468,Verifiable
10,UCqigMiyLjh0Lf980zWoeAmA,0.6111187450809245,Mostly Verifiable
11,UC8p1vwvWtl6T73JiExfWs1g,0.49752140911964465,Somewhat Verifiable
12,UCZ8Sxmkweh65HetaZfR8YuA,0.49544414509917656,Somewhat Verifiable
13,UCa6vGFO9ty8v5KZJXQxdhaw,0.47722296322550656,Somewhat Verifiable
14,UCPgLNge0xqQHWM5B5EFH9Cg,0.4730758982583227,Somewhat Verifiable
15,UCPWXiRWZ29zrxPFIQT7eHSA,0.43669765682183953,Somewhat Verifiable
16,UCvJJ_dzjViJCoLf5uKUTwoA,0.41443431238881884,Somewhat Verifiable
17,UCZaT_X_mc0BI-djXOlfhqWQ,0.41443431238881884,Somewhat Verifiable
18,UCxyiSz4m161Z6frOsFxJpgw,0.41443431238881884,Somewhat Verifiable
19,UC52X5wxOL_s5yw0dQk7NtgA,0.41047844250277554,Somewhat Verifiable
20,UCdOflwQsgRV_RbgRGRpr_TQ,0.4012867230584012,Somewhat Verifiable
21,UC16niRr50-MSBwiO3YDb3RA,0.4012867230584012,Somewhat Verifiable
22,UCm7lHFkt2yB_WzL67aruVBQ,0.4012867230584012,Somewhat Verifiable
23,UCNZyLULUQBp5e9Q1cKtvk6Q,0.39740975044233134,Somewhat Verifiable
24,UCH1oRy1dINbMVp3UFWrKP0w,0.39740975044233134,Somewhat Verifiable
25,UCoookXUzPciGrEZEXmh4Jjg,0.3969335024356828,Somewhat Verifiable
26,UCF9IOB2TExg3QIBupFtBDxg,0.39386521733249885,Somewhat Verifiable
27,UCLbidg2ZT49dWrxDkwNKr0g,0.39386521733249885,Somewhat Verifiable
28,UCrkhryqZABVzsGvfeAp0uIw,0.39293904204744484,Somewhat Verifiable
29,UCoMdktPbSTixAyNGwb-UYkQ,0.38334050325372987,Somewhat Verifiable
30,UCGbQJy-531_5vfphay-rChQ,0.38334050325372987,Somewhat Verifiable
31,UCYPvAwZP8pZhSMW8qs7cVCw,0.38334050325372987,Somewhat Verifiable
32,UCCj956IF62FbT7Gouszaj9w,0.38020837641597305,Somewhat Verifiable
33,UCHd62-u_v4DvJ8TCFtpi4GA,0.3795860269678006,Somewhat Verifiable
34,UCSrZ3UV4jOidv8ppoVuvW9Q,0.338981951717723,Somewhat Verifiable
35,UCBu0KdNokE4MqdkacvH37_A,0.33418620235051005,Somewhat Verifiable
36,UClR8YIQX5Fb8J2wmsUKLhvQ,0.3263045757457696,Somewhat Verifiable
37,UCLXo7UDZvByw2ixzpQCufnA,0.32138927739947687,Somewhat Verifiable
38,UCmKKVuZrBfSGiuvtOuipoDA,0.3049038287211776,Somewhat Verifiable
39,UCG5KB3yJEvWS9tal134vPQg,0.30078481439536997,Somewhat Verifiable
