,channel_id,vs
0,UCupvZG-5ko_eiXAupbDfxWw,0.7814167475779179
1,UCPWXiRWZ29zrxPFIQT7eHSA,0.3982603305103662
2,UC16niRr50-MSBwiO3YDb3RA,0.2620982401049082
3,UC52X5wxOL_s5yw0dQk7NtgA,0.24291355348125204
4,UCi8URBP1KDF0KuG_ntPFS2w,0.24291355348125204
5,UCCj956IF62FbT7Gouszaj9w,0.21918137539066226
6,UCXVcNr1VztNcc0YVTJAmpKw,0.11892219571672187
7,UCoMdktPbSTixAyNGwb-UYkQ,0.10560914422204894
8,UCLbidg2ZT49dWrxDkwNKr0g,0.08380222432405267
9,UChqUTb7kYRX8-EiaN3XFrSQ,0.08325793557709499
10,UClwkBPKzW8h_rfZWuG_kWjw,0.07607224405448675
11,UCaXkIU1QidjPwiAYu6GcHjg,0.07400127863567676
12,UCa6vGFO9ty8v5KZJXQxdhaw,0.07083042569335064
13,UCIALMKvObZNtJ6AmdCLP7Lg,0.06983233250027272
14,UCeY0bbntWzzVIaj2z3QigXg,0.06923430768281615
15,UCJMC-44oT9l97ra5iemDPiA,0.06720552947792803
16,UC6ZFN9Tx6xh-skXCuRHCDpQ,0.06639874731778117
17,UCBu0KdNokE4MqdkacvH37_A,0.06634052616651619
18,UCF9IOB2TExg3QIBupFtBDxg,0.06625686550021513
19,UCCjG8NtOig0USdrT5D1FpxQ,0.06619608108399508
20,UCvixJtaXuNdMPUGdOPcY8Ag,0.06614562675722137
21,UCG5KB3yJEvWS9tal134vPQg,0.0661283291925394
22,UCm4XHDoKJx-H8f724Js5f2Q,0.06612231400047162
23,UCxHoBXkY88Tb8z1Ssj6CWsQ,0.06611377892606189
24,UCNZR15cy3w1fzGXgI5oy5aA,0.06611160446240937
25,UC0vn8ISa4LKMunLbzaXLnOQ,0.056837009879862455
26,UCHqkXbgqrDrDVInBMSoGQgQ,0.054556486141563276
27,UC3XTzVzaHQEd30rQbuvCtTQ,0.05452789712363788
28,UC_gUM8rL-Lrg6O3adPW9K1g,0.05444100697741481
29,UC5T7D-Dh1eDGtsAFCuwv_Sw,0.0544265653900207
30,UCC552Sd-3nyi_tk2BudLUzA,0.054399446851320664
31,UCknLrEdhRCp1aegoMqRaCZg,0.054396234152426066
32,UCvAnclelY8eSq8GyPE19KTw,0.05437774203165092
33,UCWCEYVwSqr7Epo6sSCfUgiw,0.054363630543611256
34,UC0QHWhjbe5fGJEPz3sVb6nw,0.05095900730380395
35,UCGaVdbSav8xWuFWTadK6loA,0.050947955722913434
36,UCmKKVuZrBfSGiuvtOuipoDA,0.04708544088287336
37,UCxyiSz4m161Z6frOsFxJpgw,0.04708482928041583
38,UCJA54SrrVv7qRrEQSPVJ8Ug,0.04706984765179823
39,UCw9zM4_S570N72pUfwIkuwQ,0.0470696268185595
40,UC6ip3rb4w_LIq1Q8kJXcKlw,0.047069586050888755
41,UCYx6O5ltWUVi8xzEGkM0WYQ,0.04706938750696224
42,UCaZ2jG4qd1vY-Tkwiq9FBlw,0.047069268123958535
43,UCMSsLqxqvZsNXi0Z-VjN89A,0.04706916233597117
44,UCrC8mOqJQpoB7NuIMKIS6rQ,0.047069157859356836
45,UCJFOER35ggIWwsXh2ZDnqyg,0.04550247003739886
46,UCXIJgqnII2ZOINSWNOGFThA,0.029854272943924277
47,UChirEOpgFCupRAk5etXqPaA,0.029117646391674832
48,UCBwejc-awS-mANgrkHQ5-6A,0.027763729500712438
49,UC8p1vwvWtl6T73JiExfWs1g,0.027652097134372607
50,UCLXo7UDZvByw2ixzpQCufnA,0.027185753679229367
51,UCHd62-u_v4DvJ8TCFtpi4GA,0.026660552214823722
52,UCm7lHFkt2yB_WzL67aruVBQ,0.02657565904674144
53,UCZ8Sxmkweh65HetaZfR8YuA,0.026507059792316406
54,UCtWWry0cgjWi9C0Ye9sh6og,0.026471550863732752
55,UC9k-yiEpRHMNVOnOi_aQK8w,0.02646539698410319
56,UChDKyKQ59fYz3JO2fl0Z6sg,0.026460602377325802
57,UCYPvAwZP8pZhSMW8qs7cVCw,0.026449873155188004
58,UCg40OxZ1GYh3u3jBntB6DLg,0.026447608806910702
59,UCT350j4u6alUKyF9eu2bGug,0.026447608806910702
60,UCL3kHlUwZr0fXFODgfGVp2A,0.02644715648397926
61,UC13mSI38YWz5zfvxXDPpePA,0.026446907576678984
62,UC_YFbvKedjnVjqrZqBR4L8Q,0.026445191246358662
63,UCKe4Fry0MyvT_SRrmn0_MiQ,0.02644497555720262
64,UCKQECjul8nw1KW_JzfBTP1A,0.026444878133401486
65,UCDvJcb8Adv-_bOrtnRLmiDw,0.02644390891857833
66,UCOGa-48fFt4cW0UnW5WSdRg,0.026443666644441817
67,UCIYLOcEUX6TbBo7HQVF2PKA,0.0264433130954916
68,UC-RxXi2Xws6Uk22vp-sLbGA,0.02644302468681365
69,UCQfwfsi5VrQ8yKZ-UWmAEFg,0.02644301820231382
70,UC1dVGItBqV4w-4xQHoX1UDg,0.0264429296308856
71,UCsooa4yRKGN_zEE8iknghZA,0.0264426627749948
72,UC2rLSYDm92QMytS9yIkT8UQ,0.026442549503197774
73,UCretxef46N9r-v0FOlHWIVA,0.026442549503197774
74,UCxfBw80sGM6KhT6LKh8ioLw,0.026442549503197774
75,UCG-iSMVtWbbwDDXgXXypARQ,0.026442438745740354
76,UCzznO4xSV8BKnUBPyswtCUw,0.026442394316647282
77,UC-bqVtuVe9Yq4ujIG8cqIMQ,0.026442381577731194
78,UCXJryYh6xcW5iEeJGzK191A,0.026442372634368768
79,UCByGc7P_siORkC1pum8T3_Q,0.023539961609839097
80,UCrkhryqZABVzsGvfeAp0uIw,0.023539961609839097
81,UCabaQPYxxKepWUsEVQMT4Kw,0.023305459136725347
82,UCH1oRy1dINbMVp3UFWrKP0w,0.02325706996850082
83,UCrlIS7z20CnVaCrMvdkig_g,0.02324588224006998
84,UCi4fcBVyo4CAnmdgXeO-NvA,0.02324245000119834
85,UCpi8TJfiA4lKGkaXs__YdBA,0.02324243808924362
86,UCrPhcbDwqWRc-3tteE2BS6g,0.02324236888460452
87,UC8LNZzsetswiQ4ltf4gmXzg,0.02324236421447911
88,UC8LQKvQviSRXGuz5wrXdmmw,0.02324236421447911
89,UCc-Yj3lMj3s_n1tqcGIzQ6g,0.01736547973364276
90,UC85VW73bQLEjs_taFKP7TwQ,0.017365171951532296
91,UCiTGKA9W0G0TL8Hm7Uf_u9A,0.017365152755023237
92,UCMbsWtzxAwuVBmM0I0ZZCJg,0.01736513946209156
93,UCk2MflaDb9D46GQtmBo9N-Q,0.017365137636497403
94,UCzF4Ryn8TKn64md77gS5Q5Q,0.012891464819526655
95,UCVKYCeuR3OyO-M2rfUXHDyg,0.012890168982008423
96,UCCJ8wEkiHBHkVD8Jb7sbIBg,0.012890119521464002
97,UCoookXUzPciGrEZEXmh4Jjg,0.012889669131150935
98,UC5UlvCrYsS8axWEQ9Kd1sAg,0.012889537636689938
99,UCH4BNI0-FOK2dMXoFtViWHw,0.011768950870643238
100,UC9HQXWbt14wTdr_Tzc8ZE0A,0.011753774891226837
101,UC3prwMn9aU2z5Y158ZdGyyA,0.0
102,UCG5TBPANNSiKf1Dp-R5Dibg,0.0
103,UCf3BkFTwI4G1vMc6W-NpQNw,0.0
104,UCrmxzSIf7J66qvlOAT9AlZQ,0.0
105,UCmtPDgiOcMStJt-f12yGTpg,0.0
