,channel_id,channel_name,LinkedIn,Wiki,Website,Twitter,Facebook
45,UCef1-8eOpJgud7szVPlZQAQ,CNN-News18,nan,nan,news18.com,twitter.com/cnnnews18,facebook.com/cnnnews18
46,UCJEDFSxHHOW1PpBccdSxOTA,The Indian Express,nan,nan,indianexpress.com,twitter.com/indianexpress,facebook.com/indianexpress
47,UCZaT_X_mc0BI-djXOlfhqWQ,VICE News,nan,nan,news.vice.com,twitter.com/vicenews,facebook.com/vicenews
48,UC1pfsmDBnMQB8sOuQvmTvRQ,BYJU'S IAS,nan,nan,nan,nan,nan
49,UCW39zufHfsuGgpLviKh297Q,DW Documentary,nan,nan,instagram.com/dwdocumentary,nan,facebook.com/dwdocumental
50,UCfAOh2t5DpxVrgS9NQKjC7A,The Onion,nan,nan,theonion.com,twitter.com/theonion,facebook.com/theonion
51,UCJFOER35ggIWwsXh2ZDnqyg,The Economic Times,linkedin.com/company/the-economic-times,nan,nan,twitter.com/EconomicTimes,facebook.com/EconomicTimes
52,UC16niRr50-MSBwiO3YDb3RA,BBC News,nan,nan,bbc.com/news,twitter.com/BBCWorld,facebook.com/bbcworldnews
53,UCK7tptUDHh-RYDsdxO1-5QQ,The Wall Street Journal,nan,nan,nan,twitter.com/wsj,facebook.com/wsj
54,UCeY0bbntWzzVIaj2z3QigXg,NBC News,nan,nan,nbcnews.com,twitter.com/nbcnews,facebook.com/nbcnews
55,UC2Cl2g2xFTZoAEldxYVzQFg,Geo History,nan,nan,nan,nan,nan
56,UCrC8mOqJQpoB7NuIMKIS6rQ,StudyIQ IAS,linkedin.com/company/studyiq,nan,whatsapp.com/channel/0029VaAObgNId7nLN9ZUPg2l,nan,facebook.com/studyiq
57,UC1EasxeXGzoXJb2y3HTMsLA,Yishai Fleisher,nan,nan,yishaifleisher.com,twitter.com/YishaiFleisher,facebook.com/yishaifleisher
58,UCHvGJ-eAV8krPgqofo65WYQ,Illustrate to Educate,nan,nan,illustratetoeducate.com,twitter.com/Illustrate_2_Ed,nan
59,UCT350j4u6alUKyF9eu2bGug,ABC10,nan,nan,abc10.com,twitter.com/abc10,facebook.com/ABC10tv
60,UCqTa3sNT6SfiQ2DQK_kuWlA,Oneindia News,nan,nan,oneindia.com,twitter.com/oneindia,facebook.com/oneindianews
61,UCUk0AvSMU5CJ0wUqJf9TX8g,Coleman Hughes,nan,nan,colemanhughes.org,twitter.com/coldxman,facebook.com/colemancruzhughes1
62,UCzb-6smlTg5UPirLdsdQ_cQ,Foil Arms and Hog,nan,nan,foilarmsandhog.ie,twitter.com/foilarmsandhog,facebook.com/foilarmsandhog
63,UCL_A4jkwvKuMyToAPy3FQKQ,Council on Foreign Relations,nan,nan,cfr.org,twitter.com/cfr_org,facebook.com/councilonforeignrelations
64,UCXIJgqnII2ZOINSWNOGFThA,Fox News,nan,nan,watch.foxnews.com,twitter.com/FoxNews,facebook.com/FoxNews
65,UCFQgi22Ht00CpaOQLtvZx2A,ITV News,nan,nan,itv.com/news,twitter.com/itvnews,facebook.com/itvnews
66,UCHDFNoOk8WOXtHo8DIc8efQ,Mohammed Hijab,nan,nan,mohammedhijab.com,twitter.com/mohammed_hijab,facebook.com/brothermohammedhijab
67,UCAuUUnT6oDeKwE6v1NGQxug,TED,nan,nan,ted.com,https://twitter.com/TEDTalks,https://facebook.com/TED
68,UCP5tjEmvPItGyLhmjdwP7Ww,RealLifeLore,nan,nan,nan,nan,facebook.com/RealLifeLore
69,UCsN32BtMd0IoByjJRNF12cw,60 Minutes,nan,nan,60minutes.com,twitter.com/60Minutes,facebook.com/60minutes
70,UCupvZG-5ko_eiXAupbDfxWw,CNN,nan,nan,cnn.com,twitter.com/cnnbrk,facebook.com/cnn
71,UC6WzPg6yxF9dQx2_O6R4lww,Nitish Rajput,linkedin.com/in/nitishrajpute,nan,nitishrajput.com,twitter.com/nitishrajpute,facebook.com/nitishrajpute
72,UCJjSDX-jUChzOEyok9XYRJQ,Jubilee,nan,nan,jubileemedia.com,twitter.com/jubileemedia,facebook.com/jubileemedia
73,UCKPxuul6zSLAfKSsm123Vww,The Cārvāka Podcast,nan,nan,nan,twitter.com/kushal_mehra,facebook.com/KushalMehraOfficial/?business_id=250549378681813
74,UC7lArlQ18UhSjXwO--aykhQ,Unraveling the Scriptures,nan,nan,nan,nan,nan
75,UCU63EiU7Y-8xcRntPIRVrzA,Unpacked,nan,nan,jewishunpacked.com,twitter.com/jewishunpacked,facebook.com/jewishunpacked
76,UCj5RwDivLksanrNvkW0FB4w,GMA Public  Affairs,nan,nan,nan,nan,nan
77,UCIHdDJ0tjn_3j-FS7s_X1kQ,Valuetainment,nan,nan,bit.ly/3saebda,nan,nan
78,UCR0fZh5SBxxMNYdg0VzRFkg,Middle East Eye,nan,nan,middleeasteye.net,twitter.com/middleeasteye,facebook.com/middleeasteye
79,UCaXkIU1QidjPwiAYu6GcHjg,MSNBC,nan,nan,tv.msnbc.com,twitter.com/MSNBC,facebook.com/msnbc
80,UCoNUtq2hO0VBcwoXX0-f4vA,Jewish Voice for Peace,nan,nan,jewishvoiceforpeace.org,nan,nan
81,UChDmf55WYF2keOb-khGk1iw,World Map,nan,nan,nan,nan,nan
82,UCHd62-u_v4DvJ8TCFtpi4GA,Washington Post,nan,nan,washingtonpost.com/video,twitter.com/postvideo,nan
83,UCdZY83VtDv0WieDHLyXrlNQ,Dovahhatty,nan,nan,nan,twitter.com/Hattydovah,nan
84,UCKQECjul8nw1KW_JzfBTP1A,KPRC 2 Click2Houston,nan,nan,click2houston.com,twitter.com/KPRC2,facebook.com/KPRC2
85,UCKHQmMru9nAJ71FMrGfhfJQ,SOC 119,nan,nan,soc119.org,twitter.com/soc119,facebook.com/soc119
86,UCPxMZIFE856tbTfdkdjzTSQ,BeerBiceps,linkedin.com/in/beerbiceps,nan,nan,twitter.com/BeerBicepsGuy,facebook.com/beerbiceps
87,UCzWwWbbKHg4aodl0S35R6XA,Hoover Institution,nan,nan,nan,twitter.com/HooverInst,facebook.com/HooverInstStanford?v=wall
88,UCJg9wBPyKMNA5sRDnvzmkdg,LiveNOW from FOX,nan,nan,livenowfox.com,twitter.com/livenowfox,facebook.com/livenowfox
89,UC3njZ48-FDxLleBYaP0SZIg,The Hindu,nan,nan,thehindu.com,twitter.com/the_hindu,facebook.com/thehindu
90,UCBi2mrWuNuyYy4gbM6fU18Q,ABC News,nan,nan,abcnews.go.com,twitter.com/ABC,nan
91,UCDpZr9QCE6ClX8S_CX8Gg4A,Encounter Books,nan,nan,encounterbooks.com,twitter.com/EncounterBooks,facebook.com/EncounterBooks
92,UC3prwMn9aU2z5Y158ZdGyyA,CRUX,nan,nan,nan,nan,nan
93,UCKop7_gs7xq5tbrDDYuplhA,RJ Raunac,nan,nan,instagram.com/rjraunac,twitter.com/rjraunac,facebook.com/rjraunac
94,UCn4sPeUomNGIr26bElVdDYg,NowThis Impact,nan,nan,nan,twitter.com/nowthisimpact,facebook.com/nowthisimpact
95,UCmOCpBKeoBPp-HwarhIBA2g,Best Documentary,nan,nan,nan,nan,facebook.com/BestDocumentaryTV
96,UCH7lEQtLPgyd_nLsCn_EOXg,Anurag Talks,nan,nan,nan,nan,facebook.com/Anuragtalks1
97,UCVSNOxehfALut52NbkfRBaA,Voice of America,nan,nan,nan,twitter.com/VOANews,facebook.com/VOANews
98,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,nan,nan,nan,twitter.com/benshapiro?lang=en,facebook.com/Ben-Shapiro-203805062990264/?ref=bookmarks
99,UCHuLYgw4dGbC2BuZQqPWV1g,Chomsky's Philosophy,nan,nan,nan,nan,nan
100,UCzLqOSZPtUKrmSEnlH4LAvw,Drishti IAS,nan,nan,drishtiias.com/hindi,twitter.com/drishtiias,facebook.com/drishtithevisionfoundation
101,UCQfwfsi5VrQ8yKZ-UWmAEFg,FRANCE 24 English,nan,nan,france24.com/en,twitter.com/France24_en,facebook.com/FRANCE24.English
102,UCvm8V4Dwtz0fbPGbpk7RYAg,BBC News اردو,nan,nan,bbc.com/urdu,nan,facebook.com/bbcurdu
103,UCy-XYfuiqPQNkdoezJrq-Cg,Tadhg Hickey,nan,nan,nan,nan,nan
104,UCREPamP892LJnJfJNWYKfPQ,Amnesty International,nan,nan,amnesty.org/en/latest/campaigns/2019/04/turn-it-up,twitter.com/amnesty,facebook.com/amnestyglobal
105,UCPWXiRWZ29zrxPFIQT7eHSA,The Hill,nan,nan,twitter.com/thehill,twitter.com/RisingTheHill,facebook.com/HillTVLive
106,UCatt7TBjfBkiJWx8khav_Gg,Piers Morgan Uncensored,nan,nan,talk.tv,twitter.com/PiersUncensored,facebook.com/piersmorganuncensored
107,UCsDTy8jvHcwMvSZf_JGi-FA,Abhi and Niyu,nan,nan,nan,twitter.com/abhiandniyu,facebook.com/followinglovefilms
108,UCuw0GgMlZlAsWvpI8PgCN8g,ENDEVR,nan,nan,nan,nan,facebook.com/endevrdocs
109,UCylNpQCufmDdAhs8CdLmUXQ,GDF,nan,nan,nan,nan,nan
110,UCY6KjrDBN_tIRFT_QNqQbRQ,Madan Gowri,linkedin.com/in/madangowri,nan,nan,twitter.com/madan3,nan
