,channel_id,channel_name,channel_dop,sub_count,total_videos
42,UCknLrEdhRCp1aegoMqRaCZg,DW News,2007-09-04,5050000,33410
43,UCK0UUsCjtMRNtS3BPh1Yc4w,ABC Action News,2007-09-27,844000,104222
44,UCWUA2W6LueNy9BSovivFVvQ,CBC Kids News,2018-06-04,57100,967
45,UCef1-8eOpJgud7szVPlZQAQ,CNN-News18,2006-09-15,6810000,163884
46,UCJEDFSxHHOW1PpBccdSxOTA,The Indian Express,2011-09-30,2490000,28877
47,UCZaT_X_mc0BI-djXOlfhqWQ,VICE News,2013-11-20,8880000,6497
48,UC1pfsmDBnMQB8sOuQvmTvRQ,BYJU'S IAS,2017-07-24,1900000,4258
49,UCW39zufHfsuGgpLviKh297Q,DW Documentary,2016-11-22,5440000,1082
50,UCfAOh2t5DpxVrgS9NQKjC7A,The Onion,2006-03-14,2560000,1826
51,UCJFOER35ggIWwsXh2ZDnqyg,The Economic Times,2015-01-17,2290000,39573
52,UC16niRr50-MSBwiO3YDb3RA,BBC News,2006-04-08,15700000,20901
53,UCK7tptUDHh-RYDsdxO1-5QQ,The Wall Street Journal,2007-06-18,5050000,27232
54,UCeY0bbntWzzVIaj2z3QigXg,NBC News,2006-07-19,9720000,62033
55,UC2Cl2g2xFTZoAEldxYVzQFg,Geo History,2018-02-09,930000,94
56,UCrC8mOqJQpoB7NuIMKIS6rQ,StudyIQ IAS,2015-06-22,16500000,48954
57,UC1EasxeXGzoXJb2y3HTMsLA,Yishai Fleisher,2010-12-29,47300,537
58,UCHvGJ-eAV8krPgqofo65WYQ,Illustrate to Educate,2010-04-29,71800,150
59,UCT350j4u6alUKyF9eu2bGug,ABC10,2016-03-18,341000,35806
60,UCqTa3sNT6SfiQ2DQK_kuWlA,Oneindia News,2014-01-29,1170000,50687
61,UCUk0AvSMU5CJ0wUqJf9TX8g,Coleman Hughes,2019-10-17,176000,510
62,UCzb-6smlTg5UPirLdsdQ_cQ,Foil Arms and Hog,2008-10-26,942000,605
63,UCL_A4jkwvKuMyToAPy3FQKQ,Council on Foreign Relations,2006-03-27,254000,3640
64,UCXIJgqnII2ZOINSWNOGFThA,Fox News,2006-09-19,11100000,102773
65,UCFQgi22Ht00CpaOQLtvZx2A,ITV News,2006-10-06,1750000,18381
66,UCHDFNoOk8WOXtHo8DIc8efQ,Mohammed Hijab,2015-06-12,1180000,1126
67,UCAuUUnT6oDeKwE6v1NGQxug,TED,2006-12-06,24100000,4630
68,UCP5tjEmvPItGyLhmjdwP7Ww,RealLifeLore,2016-02-15,7350000,346
69,UCsN32BtMd0IoByjJRNF12cw,60 Minutes,2006-03-07,2770000,3280
70,UCupvZG-5ko_eiXAupbDfxWw,CNN,2005-10-02,16100000,163827
71,UC6WzPg6yxF9dQx2_O6R4lww,Nitish Rajput,2020-04-29,3820000,96
72,UCJjSDX-jUChzOEyok9XYRJQ,Jubilee,2010-01-30,8590000,1180
73,UCKPxuul6zSLAfKSsm123Vww,The Cārvāka Podcast,2012-05-04,121000,1155
74,UC7lArlQ18UhSjXwO--aykhQ,Unraveling the Scriptures,2023-03-15,173000,122
75,UCU63EiU7Y-8xcRntPIRVrzA,Unpacked,2011-03-03,231000,343
76,UCj5RwDivLksanrNvkW0FB4w,GMA Public  Affairs,2009-08-08,22600000,40540
77,UCIHdDJ0tjn_3j-FS7s_X1kQ,Valuetainment,2012-11-10,5330000,3204
78,UCR0fZh5SBxxMNYdg0VzRFkg,Middle East Eye,2014-04-23,1770000,8163
79,UCaXkIU1QidjPwiAYu6GcHjg,MSNBC,2011-12-01,6530000,79130
80,UCoNUtq2hO0VBcwoXX0-f4vA,Jewish Voice for Peace,2006-08-10,13300,211
81,UChDmf55WYF2keOb-khGk1iw,World Map,2011-09-30,109000,470
82,UCHd62-u_v4DvJ8TCFtpi4GA,Washington Post,2006-06-30,2320000,21226
83,UCdZY83VtDv0WieDHLyXrlNQ,Dovahhatty,2013-08-24,201000,32
84,UCKQECjul8nw1KW_JzfBTP1A,KPRC 2 Click2Houston,2014-04-17,659000,75295
85,UCKHQmMru9nAJ71FMrGfhfJQ,SOC 119,2011-01-12,338000,1630
86,UCPxMZIFE856tbTfdkdjzTSQ,BeerBiceps,2014-12-21,7000000,1245
87,UCzWwWbbKHg4aodl0S35R6XA,Hoover Institution,2008-09-02,893000,1957
88,UCJg9wBPyKMNA5sRDnvzmkdg,LiveNOW from FOX,2014-01-14,3050000,18336
89,UC3njZ48-FDxLleBYaP0SZIg,The Hindu,2011-04-16,1410000,4703
90,UCBi2mrWuNuyYy4gbM6fU18Q,ABC News,2006-08-07,16200000,87086
91,UCDpZr9QCE6ClX8S_CX8Gg4A,Encounter Books,2007-02-05,31300,48
92,UC3prwMn9aU2z5Y158ZdGyyA,CRUX,2016-05-18,2360000,16617
93,UCKop7_gs7xq5tbrDDYuplhA,RJ Raunac,2015-03-20,3780000,582
94,UCn4sPeUomNGIr26bElVdDYg,NowThis Impact,2012-09-05,3200000,21523
95,UCmOCpBKeoBPp-HwarhIBA2g,Best Documentary,2016-05-03,4380000,1697
96,UCH7lEQtLPgyd_nLsCn_EOXg,Anurag Talks,2019-09-29,1000000,231
97,UCVSNOxehfALut52NbkfRBaA,Voice of America,2008-03-14,3200000,46990
98,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,2016-11-01,6800000,5625
99,UCHuLYgw4dGbC2BuZQqPWV1g,Chomsky's Philosophy,2014-09-25,395000,566
100,UCzLqOSZPtUKrmSEnlH4LAvw,Drishti IAS,2017-04-13,11400000,13760
101,UCQfwfsi5VrQ8yKZ-UWmAEFg,FRANCE 24 English,2007-04-04,2910000,96730
102,UCvm8V4Dwtz0fbPGbpk7RYAg,BBC News اردو,2007-09-05,2680000,9366
103,UCy-XYfuiqPQNkdoezJrq-Cg,Tadhg Hickey,2011-10-16,53900,148
104,UCREPamP892LJnJfJNWYKfPQ,Amnesty International,2006-09-07,120000,607
105,UCPWXiRWZ29zrxPFIQT7eHSA,The Hill,2014-09-09,1920000,31142
106,UCatt7TBjfBkiJWx8khav_Gg,Piers Morgan Uncensored,2021-11-02,2420000,1274
107,UCsDTy8jvHcwMvSZf_JGi-FA,Abhi and Niyu,2018-04-02,5720000,802
108,UCuw0GgMlZlAsWvpI8PgCN8g,ENDEVR,2019-07-29,1030000,361
109,UCylNpQCufmDdAhs8CdLmUXQ,GDF,2020-11-29,194000,107
110,UCY6KjrDBN_tIRFT_QNqQbRQ,Madan Gowri,2013-12-05,7270000,2670
111,UCzREuchzOqiawpEpvEM0Tyg,Apostate Prophet,2017-05-17,480000,693
112,UChcwi-ZnEFhOtHAPTroiOnw,JewishCatholic,2013-12-10,18600,1234
113,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,2012-08-20,3330000,54480
114,UCVM1uxDwYNhIu3qQ0ejZtzQ,Sammy Obeid,2010-08-08,161000,668
115,UCLpn_QJwfehfKuTt0orfYDw,הדרך הקלה,2015-01-17,77300,276
116,UCz4a7agVFr1TxU-mpAP8hkw,Soch by Mohak Mangal,2018-05-01,2970000,328
117,UCTX8ZbNDi_HBoyjTWRw9fAg,One Islam Productions,2007-01-24,2260000,2186
118,UC52X5wxOL_s5yw0dQk7NtgA,Associated Press,2006-09-18,2670000,170007
119,UCvlj0IzjSnNoduQF0l3VGng,Some More News,2018-03-06,837000,255
120,UCwHYp-o1OlEVnMRoXLoaaOA,Meaningful People,2020-03-04,214000,770
121,UCoMdktPbSTixAyNGwb-UYkQ,Sky News,2006-06-12,7420000,45065
122,UCfmSignFWkk1lw4015hCyyQ,StandWithUs,2006-06-06,111000,1069
123,UCtL5p5kTIgWA3bcskUccdyw,Media Education Foundation,2019-07-02,5540,259
