,channel_id,channel_name,channel_dop,sub_count,total_videos,profile
22,UCqYw-CTd1dU2yGI71sEyqNw,GMA Integrated News,2007-10-29,14400000,319558,https://yt3.ggpht.com/azfpRXk7nP4Sv7JhFG3i1_zdd9Nzi5QME2Drr6ZZ2Ft8Awq8G3gsImK2JmqseueLjBpheQufZg=s240-c-k-c0x00ffffff-no-rj
23,UCpWvshQVx1d7BqCsPnVuNIw,The Star,2007-04-25,1340000,65511,https://yt3.ggpht.com/ytc/AIdro_mFc60r-1oXo7IRSZxYyvvz4YOkt9CeWBZT-49cAA=s240-c-k-c0x00ffffff-no-rj
24,UC4p_I9eiRewn2KoU-nawrDg,The Straits Times,2011-09-30,561000,29470,https://yt3.ggpht.com/ytc/AIdro_mzKgOpExs4cwmCZTCzPfwYMYa1Wi-uuwbcNVEOoQ=s240-c-k-c0x00ffffff-no-rj
25,UCJq1YV3cJbJNs_xxp5_P7vQ,Doctor Wessam Atif,2010-12-10,727,18,https://yt3.ggpht.com/ytc/AIdro_ltkfSOz93R3zVwNf2GCgrdbpi07WzmEoWkGIHwvg=s240-c-k-c0x00ffffff-no-rj
26,UCgHMBsUeTBqZyG8dkGbbVKQ,TVUP,2016-10-27,28900,942,https://yt3.ggpht.com/ytc/AIdro_md8psl9pZeyH_HQDcQvtzquGuNY4VXhEnbHfasoA=s240-c-k-c0x00ffffff-no-rj
27,UCm7lHFkt2yB_WzL67aruVBQ,Hindustan Times,2005-11-16,6610000,59295,https://yt3.ggpht.com/PkHy298NcLen2IGd0jO7m29FC8wfCYRIBplND1ZgheqIVSLjq0b-RQlu_pEfKoSpX6lcqRVGSA=s240-c-k-c0x00ffffff-no-rj
28,UCsAueyuPjaPGcSfR3bIBPUg,Philstar News,2008-08-26,224000,8256,https://yt3.ggpht.com/1rW1rxEwitwIf-5bmD1sWiy-PjD-JoGI6BDIJAQF_WmnLKKn_uTqaKyA75dRLHd-4s8wkZFD-w=s240-c-k-c0x00ffffff-no-rj
29,UC2-_WWPT_124iN6jiym4fOw,Asian Boss,2013-10-29,3740000,1352,https://yt3.ggpht.com/ytc/AIdro_lLLV8YvO8G8xb7ijnxqkAIaXNS-mdjTr_F2Kleag=s240-c-k-c0x00ffffff-no-rj
30,UCXTuTQZarVcFR_fgQXvsLpw,Gulf News,2008-04-17,448000,6910,https://yt3.ggpht.com/ytc/AIdro_lkguFJhIZAFDx8E2o2W5Gv0L2NQN0YkGUNUf3WMQ=s240-c-k-c0x00ffffff-no-rj
31,UCXV-Jt3UPJPstvLVx6A1Z7Q,Kristypata,2013-09-02,307000,216,https://yt3.ggpht.com/m0Kl6ROaC00otzomoH4JsGCtqTBbO5rJHEe4wrQc1f4o-dWJif0C_9iHyIaaWlJ2LrhAJcib_A=s240-c-k-c0x00ffffff-no-rj
32,UChirEOpgFCupRAk5etXqPaA,Bloomberg Quicktake,2018-02-28,1630000,31962,https://yt3.ggpht.com/67h6bB9Vlw5SpQkWek4Uk8weqxzaPNGH76sAMK4j431Jx8JlUt8mblVlTCwseeb7rDavn3yBJA=s240-c-k-c0x00ffffff-no-rj
33,UCHeFV2atoLtgdKH4iu29orA,Delightful Travellers,2015-11-08,145000,567,https://yt3.ggpht.com/ytc/AIdro_m8AYGceagvNfeDv7fmKU92g9D-U9XdruCVfrcC=s240-c-k-c0x00ffffff-no-rj
34,UC4pMugpCikfWueXEV7sr3Mw,Diseases Simplified,2019-06-12,13100,182,https://yt3.ggpht.com/ytc/AIdro_mXVy2lc5_HIYb9tdCgvwtBRHHgoEyQV-K9Bp5RQw=s240-c-k-c0x00ffffff-no-rj
35,UCqgTKnYIeu4DNXGN5fBCY9Q,Bongbong Marcos,2009-11-11,2750000,1237,https://yt3.ggpht.com/roVXDeUGFMz64jNY7g4zoOomiQR8-dIeFmy8JvlU7I_CtQZda844dgzJstNHCGCHfAlOULJc=s240-c-k-c0x00ffffff-no-rj
36,UCNTTTRCsrNvKRW6ywNlIpaw,PIDS,2015-05-27,1040,1274,https://yt3.ggpht.com/lrVMpAtiEY2FMrkx0M0rETMAa3Iej2a_h-GylN29fCcPHh84ZkbXMeA0i0WcgOmLGPmkB6jV=s240-c-k-c0x00ffffff-no-rj
