,channel_id,channel_name,LinkedIn,Wiki,Website,Twitter,Facebook,Instagram
24,UC4p_I9eiRewn2KoU-nawrDg,The Straits Times,,https://en.wikipedia.org/wiki/The_Straits_Times,https://www.straitstimes.com/,https://www.twitter.com/STcom,https://www.facebook.com/TheStraitsTimes,https://www.instagram.com/straits_times
25,UCJq1YV3cJbJNs_xxp5_P7vQ,Doctor Wessam Atif,https://linkedin.com/in/wessamatif,,,,,
26,UCgHMBsUeTBqZyG8dkGbbVKQ,TVUP,,,https://tvup.ph/,https://twitter.com/tvupph,https://facebook.com/tvup,
27,UCm7lHFkt2yB_WzL67aruVBQ,Hindustan Times,,https://en.wikipedia.org/wiki/Hindustan_Times,https://www.hindustantimes.com/,https://twitter.com/htTweets,https://facebook.com/hindustantimes,https://www.instagram.com/hindustantimes/?hl=en
28,UCsAueyuPjaPGcSfR3bIBPUg,Philstar News,,,,https://twitter.com/PhilstarNews,https://facebook.com/philstarnews,https://www.instagram.com/philstarnews/?hl=en
29,UC2-_WWPT_124iN6jiym4fOw,Asian Boss,https://linkedin.com/company/asian-boss,https://en.wikipedia.org/wiki/Asian_Boss,https://asianboss.io/,https://twitter.com/asianbossmedia,https://facebook.com/asianboss,https://www.instagram.com/asianbossmedia/?hl=en
30,UCXTuTQZarVcFR_fgQXvsLpw,Gulf News,https://www.linkedin.com/company/gulf-news,https://en.wikipedia.org/wiki/Gulf_News,,https://twitter.com/GulfnewsTv,,
31,UCXV-Jt3UPJPstvLVx6A1Z7Q,Kristypata,,,,https://twitter.com/kristypataa,https://www.facebook.com/Eunsaema,https://www.instagram.com/eunsaema
32,UChirEOpgFCupRAk5etXqPaA,Bloomberg Quicktake,,,,https://twitter.com/quicktake,https://www.facebook.com/quicktake,https://www.instagram.com/quicktake
33,UCHeFV2atoLtgdKH4iu29orA,Delightful Travellers,,,https://www.delightfultravellers.com,https://www.twitter.com/deltravellers,https://www.facebook.com/delightfultravellers,https://www.instagram.com/delightfultravellers
34,UC4pMugpCikfWueXEV7sr3Mw,Diseases Simplified,,,,,,
35,UCqgTKnYIeu4DNXGN5fBCY9Q,Bongbong Marcos,,,,https://twitter.com/bongbongmarcos,https://facebook.com/bongbongmarcos,https://instagram.com/bongbongmarcos
36,UCNTTTRCsrNvKRW6ywNlIpaw,PIDS,,,,https://twitter.com/PIDS_PH,https://facebook.com/PIDS,
