,video_id,comment,comment_cleaned
353,rGVgjS98OsU,"Its important to note that during the Nakba, Palestinian resistance was already weakened because of the revolt of 1936 where Palestinians revolted agaisnt the British colonizers and were squashed, essentially eliminating political and military strength of Palestine.","its important to note that during the nakba, palestinian resistance was already weakened because of the revolt of 1936 where palestinians revolted agaisnt the british colonizers and were squashed, essentially eliminating political and military strength of palestine."
354,B12qniUwPMg,"„All land that was once inhabited by Germanic people must be added to Germany, no place for a Polish state.“ Now make an intelligent guess who said that.","„all land that was once inhabited by germanic people must be added to germany, no place for a polish state.“ now make an intelligent guess who said that."
355,B12qniUwPMg,"The term ""Palestine"" first appeared in the 5th century BCE when the ancient Greek historian Herodotus wrote of a ""district of Syria, called Palaistinê"" between Phoenicia and Egypt in The Histories","the term ""palestine"" first appeared in the 5th century bce when the ancient greek historian herodotus wrote of a ""district of syria, called palaistinê"" between phoenicia and egypt in the histori"
356,B12qniUwPMg,Can  you tell more indepth about the belfor declaration,can  you tell more indepth about the belfor declar
357,B12qniUwPMg,What books would you recommend for someone like me who wants a deeper understanding of the situation like you were able to do?,what books would you recommend for someone like me who wants a deeper understanding of the situation like you were able to do?
358,B12qniUwPMg,I pray for peace from both sides. No innocent people should be hurt in this massacre. May peace prevail.,i pray for peace from both sides. no innocent people should be hurt in this massacre. may peace prevail.
359,B12qniUwPMg,Where was that cartoon mocking the man who was killed in the terrorist attack published?  I can’t find it.,where was that cartoon mocking the man who was killed in the terrorist attack published?  i can’t find it.
360,Il-Vz6X2ygg,"“If two fishes are fighting in a pond, a britisher must have passed by”","“if two fishes are fighting in a pond, a britisher must have passed by”"
361,Il-Vz6X2ygg,"I pray for the innocents, those are the ones who suffer the most","i pray for the innocents, those are the ones who suffer the most"
362,Il-Vz6X2ygg,"Hats off to you brother. 
You have predicted it's gonna happen 2 years later correctly.","hats off to you brother. 
you have predicted it's gonna happen 2 years later correctly."
363,Il-Vz6X2ygg,Great work Dhruv. Simple explanation of the most complicated global conflict,great work dhruv. simple explanation of the most complicated global conflict
364,Il-Vz6X2ygg,“There is no such thing as real peace! It’s impossible as long as we live in this accursed world!”,“there is no such thing as real peace! it’s impossible as long as we live in this accursed world!”
365,Il-Vz6X2ygg,"History is interesting when you don't have to study for an exam.
Someone","history is interesting when you don't have to study for an exam.
someon"
366,Il-Vz6X2ygg,"Vengeance brings justice but that justice breeds more vengeance 
         - pain","vengeance brings justice but that justice breeds more vengeance 
         - pain"
367,Il-Vz6X2ygg,"Gandhi never said ""An eye for an eye makes the world blind"" This was a dialogue in the movie ""GANDHI"" and BEN KINGSLEY said this.","gandhi never said ""an eye for an eye makes the world blind"" this was a dialogue in the movie ""gandhi"" and ben kingsley said this."
368,Il-Vz6X2ygg,"you are best neutral speaker on this matter Dhruv, lots of respect♥","you are best neutral speaker on this matter dhruv, lots of respect♥"
369,iiUIWnU-Ofk,Imagine how much hard work need to prepare this type of content. No word to describe sir's effort.,imagine how much hard work need to prepare this type of content. no word to describe sir's effort.
370,iiUIWnU-Ofk,"I wish i could imprint all the information all at once in my brain and never forget them again.. As a Christian and as a student, I am really thankful for your work. Things have become clearer than before, not only for the ongoing debate on Israel-Palestine conflict, but also for my academics and my Bible knowledge. Thank you Sir.","i wish i could imprint all the information all at once in my brain and never forget them again.. as a christian and as a student, i am really thankful for your work. things have become clearer than before, not only for the ongoing debate on israel-palestine conflict, but also for my academics and my bible knowledge. thank you sir."
371,iiUIWnU-Ofk,"I have watched countless of videos and documentaries from various sources but nothing like yours. This is clearly by far the best narration ever , very clear, crisp, succinct and straight to the point ! Thank you. I'm a huge fan of yours. I  really appreciate your hard work. God bless you and keep doing what you're doing.    🙏","i have watched countless of videos and documentaries from various sources but nothing like yours. this is clearly by far the best narration ever , very clear, crisp, succinct and straight to the point ! thank you. i'm a huge fan of yours. i  really appreciate your hard work. god bless you and keep doing what you're doing.    🙏"
