,channel_id,vs,category
71,UCkS_HP3m9NXOgswVAKbMeJQ,0.14193217264371724,Not so Verifiable
72,UCJsUvAqDzczYv2UpFmu4PcA,0.14193217264371724,Not so Verifiable
73,UCrC8mOqJQpoB7NuIMKIS6rQ,0.14099329256466772,Not so Verifiable
74,UCA295QVkf9O1RQ8_-s3FVXg,0.14099329256466772,Not so Verifiable
75,UCYCVm1aN33HYdLs66DHw_ow,0.14099329256466772,Not so Verifiable
76,UC6WzPg6yxF9dQx2_O6R4lww,0.14099329256466772,Not so Verifiable
77,UCItJsxqZNWUyxFn-A2tzizQ,0.14099329256466772,Not so Verifiable
78,UCLfMmOriSyPbd5JhHpnj4Ng,0.14099329256466772,Not so Verifiable
79,UCeUJFQ0D9qs6aVNyUt9fkeQ,0.14099329256466772,Not so Verifiable
80,UCPxMZIFE856tbTfdkdjzTSQ,0.13931153660308382,Not so Verifiable
81,UCU63EiU7Y-8xcRntPIRVrzA,0.13663862573961555,Not so Verifiable
82,UCuw0GgMlZlAsWvpI8PgCN8g,0.13663862573961555,Not so Verifiable
83,UCIHdDJ0tjn_3j-FS7s_X1kQ,0.13663862573961555,Not so Verifiable
84,UCY6KjrDBN_tIRFT_QNqQbRQ,0.13663862573961555,Not so Verifiable
85,UCwHYp-o1OlEVnMRoXLoaaOA,0.10162742903268612,Not so Verifiable
86,UCJg9wBPyKMNA5sRDnvzmkdg,0.10162742903268612,Not so Verifiable
87,UCkeTA80xeSa9POCGRpWTIfQ,0.08159402485082302,Not so Verifiable
88,UCMmaBzfCCwZ2KqaBJjkj0fw,0.08159402485082302,Not so Verifiable
89,UCK-HHyVCfKYzhxVOJgBt73w,0.08159402485082302,Not so Verifiable
90,UCsDTy8jvHcwMvSZf_JGi-FA,0.08159402485082302,Not so Verifiable
91,UC0yLX6hpcYhAU3iVjhwD5-A,0.08159402485082302,Not so Verifiable
92,UC9h8BDcXwkhZtnqoQJ7PggA,0.07939837832695334,Not so Verifiable
93,UC2Cl2g2xFTZoAEldxYVzQFg,0.07371478913064637,Not so Verifiable
94,UCrydVXgGelI6rEtOmKWAffg,0.07371478913064637,Not so Verifiable
95,UCzLqOSZPtUKrmSEnlH4LAvw,0.07311730064593021,Not so Verifiable
96,UCKop7_gs7xq5tbrDDYuplhA,0.07311730064593021,Not so Verifiable
97,UCCEQKydMgEFIXA4XDshj0CA,0.07311730064593021,Not so Verifiable
98,UCAidhU356a0ej2MtFEylvBA,0.07311730064593021,Not so Verifiable
99,UC3oKOKlDjM93TKyKLSCOWSQ,0.07311730064593021,Not so Verifiable
100,UCP5tjEmvPItGyLhmjdwP7Ww,0.07311730064593021,Not so Verifiable
101,UCHDFNoOk8WOXtHo8DIc8efQ,0.07311730064593021,Not so Verifiable
102,UCjjX7g9T83GQwp-OwUvoL4Q,0.07311730064593021,Not so Verifiable
103,UCW39zufHfsuGgpLviKh297Q,0.053133352678966385,Not so Verifiable
104,UCLpn_QJwfehfKuTt0orfYDw,0.053133352678966385,Not so Verifiable
105,UCmOCpBKeoBPp-HwarhIBA2g,0.053133352678966385,Not so Verifiable
106,UC88lvyJe7aHZmcvzvubDFRg,0.053133352678966385,Not so Verifiable
107,UC7lArlQ18UhSjXwO--aykhQ,0.0381230091858505,Not so Verifiable
108,UCgRCNbM4tBQ8GL-PYNiSwCQ,0.03780472092622012,Not so Verifiable
109,UCdZY83VtDv0WieDHLyXrlNQ,0.03780472092622012,Not so Verifiable
110,UCsgPO6cNV0wBG-Og3bUZoFA,0.03780472092622012,Not so Verifiable
111,UCcYvqQ-UuvvFsHNNfwjYEBw,0.03780472092622012,Not so Verifiable
112,UCGDXj3vSgJ8MCbzbb_C9thA,0.0,Cannot be verified
113,UCmouT0FDMQC8PH8CbQFdHUw,0.0,Cannot be verified
114,UC7JrMLRDJLUh5BPBYykMcrQ,0.0,Cannot be verified
