,channel_id,channel_name,LinkedIn,Wiki,Website,Twitter,Facebook
38,UCJsUvAqDzczYv2UpFmu4PcA,Nas Daily,,https://en.wikipedia.org/wiki/Nas_Daily,nas.co,,facebook.com/nasdaily
39,UCXIJgqnII2ZOINSWNOGFThA,Fox News,https://www.linkedin.com/company/fox-news-channel,https://en.wikipedia.org/wiki/Fox_News,watch.foxnews.com,twitter.com/FoxNews,facebook.com/FoxNews
40,UCA295QVkf9O1RQ8_-s3FVXg,Aevy TV,https://www.linkedin.com/company/aevytv,,aevytv.com,,
41,UCWUA2W6LueNy9BSovivFVvQ,CBC Kids News,,https://en.wikipedia.org/wiki/CBC_Kids,cbc.ca/kidsnews,twitter.com/cbckidsnews,
42,UCef1-8eOpJgud7szVPlZQAQ,CNN-News18,,https://en.wikipedia.org/wiki/CNN-News18,news18.com,twitter.com/cnnnews18,facebook.com/cnnnews18
43,UCItJsxqZNWUyxFn-A2tzizQ,Priya Jain,https://www.linkedin.com/in/priyaj,,,,
44,UCcYvqQ-UuvvFsHNNfwjYEBw,WHAT IS POLITICS?,,,,,
45,UC1pfsmDBnMQB8sOuQvmTvRQ,BYJU'S IAS,,https://en.wikipedia.org/wiki/Byju%27s,,,
46,UC7lArlQ18UhSjXwO--aykhQ,Unraveling the Scriptures,,,,,
47,UCK0UUsCjtMRNtS3BPh1Yc4w,ABC Action News,,https://en.wikipedia.org/wiki/Action_News,abcactionnews.com,twitter.com/abcactionnews,facebook.com/tampabaynews
48,UCJEDFSxHHOW1PpBccdSxOTA,The Indian Express,,https://en.wikipedia.org/wiki/The_Indian_Express,indianexpress.com,twitter.com/indianexpress,facebook.com/indianexpress
49,UCsDTy8jvHcwMvSZf_JGi-FA,Abhi and Niyu,,,,twitter.com/abhiandniyu,facebook.com/followinglovefilms
50,UCL_A4jkwvKuMyToAPy3FQKQ,Council on Foreign Relations,,https://en.wikipedia.org/wiki/Council_on_Foreign_Relations,cfr.org,twitter.com/cfr_org,facebook.com/councilonforeignrelations
51,UCW39zufHfsuGgpLviKh297Q,DW Documentary,,,instagram.com/dwdocumentary,,facebook.com/dwdocumental
52,UCfAOh2t5DpxVrgS9NQKjC7A,The Onion,https://www.linkedin.com/company/the-onion,https://en.wikipedia.org/wiki/The_Onion,theonion.com,twitter.com/theonion,facebook.com/theonion
53,UCJFOER35ggIWwsXh2ZDnqyg,The Economic Times,linkedin.com/company/the-economic-times,https://en.wikipedia.org/wiki/The_Economic_Times,nan,twitter.com/EconomicTimes,facebook.com/EconomicTimes
54,UCrC8mOqJQpoB7NuIMKIS6rQ,StudyIQ IAS,linkedin.com/company/studyiq,nan,whatsapp.com/channel/0029VaAObgNId7nLN9ZUPg2l,nan,facebook.com/studyiq
55,UCZaT_X_mc0BI-djXOlfhqWQ,VICE News,https://www.linkedin.com/company/vice-news,https://en.wikipedia.org/wiki/Vice_News,news.vice.com,twitter.com/vicenews,facebook.com/vicenews
56,UC2Cl2g2xFTZoAEldxYVzQFg,Geo History,nan,https://en.wikipedia.org/wiki/Geohistory,nan,nan,nan
57,UC16niRr50-MSBwiO3YDb3RA,BBC News,nan,https://en.wikipedia.org/wiki/BBC_News,bbc.com/news,twitter.com/BBCWorld,facebook.com/bbcworldnews
58,UCaXkIU1QidjPwiAYu6GcHjg,MSNBC,https://www.linkedin.com/company/msnbc,https://en.wikipedia.org/wiki/MSNBC,tv.msnbc.com,twitter.com/MSNBC,facebook.com/msnbc
59,UCT350j4u6alUKyF9eu2bGug,ABC10,https://www.linkedin.com/company/abc10,https://en.wikipedia.org/wiki/ABC10,abc10.com,twitter.com/abc10,facebook.com/ABC10tv
60,UCK7tptUDHh-RYDsdxO1-5QQ,The Wall Street Journal,nan,https://en.wikipedia.org/wiki/The_Wall_Street_Journal,nan,twitter.com/wsj,facebook.com/wsj
61,UCP5tjEmvPItGyLhmjdwP7Ww,RealLifeLore,nan,nan,nan,nan,facebook.com/RealLifeLore
