,video_id,video_title,description,video_dop,view_count,like_count,comment_count,channel_id,channel_title,channel_dop,sub_count,total_videos
10,8MO47Qm8Beo,PH starts inoculation of bivalent COVID vaccines to health workers | ANC,"'Top Story: The Philippines begins the rollout of bivalent COVID vaccines to health workers.\n\nFor more ANC Interviews, click the link below:\nhttps://www.youtube.com/playlist?list=PLm34qRgqWBU4AT2G3LWF27_RErcz0GVd9\n\nFor more Top Story videos, click the link below:\nhttps://www.youtube.com/playlist?list=PLm34qRgqWBU51CUzZ36jTuxVUZxWzMI2l\n\nFor more ANC Highlights videos, click the link below:\nhttps://www.youtube.com/playlist?list=PLm34qRgqWBU43K1JtKfSzAzho2UExmS3G\n\nSubscribe to the ANC YouTube channel!\nhttps://www.youtube.com/user/ANCalerts\n\nVisit our website at https://news.abs-cbn.com/anc\nFacebook: https://www.facebook.com/ancalerts\nTwitter: https://twitter.com/ancalerts\n\n#ANCNews\n#ANCHighlights\n#TopStory'",2023-06-20,1036,7,8,UCvi6hEzLM-Z_unKPSuuzKvg,ANC 24/7,2010-01-29,1520000,71172
11,7RmJ3kG1A-Q,Bivalent vaccines expected to arrive in PH this month - DOH,"'The first batch of bivalent vaccines to be delivered in the country this month will be given to healthcare workers and senior citizens as the third booster shot.\n\nSubscribe to our official YouTube channel, https://bit.ly/2ImmXOi\nBe the first to know about the latest updates on local and global issues, news and current affairs, 911-UNTV Rescue and public services.\n\nWe Serve the People. We Give Glory To God!\n#UNTV #UNTVNewsandRescue\n\nFor updates, visit: https://www.untvweb.com/news/\n\nCheck out our official social media accounts:\nhttps://www.facebook.com/UNTVNewsRescue\nhttps://www.twitter.com/untvnewsrescue\nhttps://www.youtube.com/untvnewsandrescue\nhttps://www.tiktok.com/@untvnewsandrescue/\nInstagram account - @untvnewsrescue\n\nFeel free to share but do not re-upload.'",2023-06-02,95284,341,402,UC3XaG-7UVi2vD8ZZEMNnnpw,UNTV News and Rescue,2014-05-30,3780000,96376
12,ZfFZBDEGM4s,Nanobots sa loob ng COVID-19 vaccines? | ’Yung Totoo?,"'Subscribe: https://www.youtube.com/@Rappler/\n\nMore videos on Rappler: https://www.rappler.com/video May laman daw na nanobots ang mga bakunang itinuturok panlaban sa COVID-19? Ang sabi pa, may kakayahan daw ang nanobots na ito na baguhin ang DNA ng mga tao. Teka, teka. Bago tayo matakot, i-fact-check muna natin ’yan!\nBasahin ang buong #FactCheck: https://www.rappler.com/newsbreak/fact-check/video-shows-nanobots-inside-covid-19-vaccines Follow Rappler for the latest news in the Philippines and around the world. \n\nSupport independent journalism. You can help power our investigative fund by donating to our crowdfunding: https://donate.rappler.com/'",2021-09-28,6046,76,44,UCdnZdQxYXnbN4uWJg96oGxw,Rappler,2011-12-02,1950000,50435
13,NF22rf-CxQE,"Bivalent COVID-19 vaccines, darating ngayong gabi | GMA Integrated News Bulletin",'#GMAIntegratedNews #KapusoStream\n\nBreaking news and stories from the Philippines and abroad:\nGMA Integrated News Portal: http://www.gmanews.tv\nFacebook: http://www.facebook.com/gmanews\nTikTok: https://www.tiktok.com/@gmanews\nTwitter: http://www.twitter.com/gmanews\nInstagram: http://www.instagram.com/gmanews\n\nGMA Network Kapuso programs on GMA Pinoy TV: https://gmapinoytv.com/subscribe',2023-06-03,10827,57,42,UCqYw-CTd1dU2yGI71sEyqNw,GMA Integrated News,2007-10-29,14200000,314978
14,4ia-jaLQVEo,What are bivalent vaccines and how effective are they against COVID-19 variants? | ANC,"'Soundbytes: The Department of Health (DOH) confirmed Tuesday that bivalent vaccines by Moderna and Pfizer against COVID-19 have been granted emergency use authority (EUA) by the Food and Drug Administration (FDA).\n\nFor more ANC Highlights, click the link below:\nhttps://www.youtube.com/playlist?list=PLgyY1WylJUmjHySZFboq4ZC7Ufy2VmGkK\n\nTo watch the latest updates on COVID-19, click the link below:\nhttps://www.youtube.com/playlist?list=PLgyY1WylJUmgUjPkc730KnTVICyQU6gBf\n\nFor more ABS-CBN News, click the link below:\nhttps://www.youtube.com/playlist?list=PLgyY1WylJUmgG2ln-vtKXb-oLlGEZc3sR\n\nSubscribe to the ABS-CBN News channel! - http://bit.ly/TheABSCBNNews\n\nWatch the full episodes of TV Patrol on iWantTFC:\nhttp://bit.ly/TVPatrol-iWantTFC\n\nVisit our website at http://news.abs-cbn.com\nFacebook: https://www.facebook.com/abscbnNEWS\nTwitter: https://twitter.com/abscbnnews\n\n#ANCHighlights \n#ANCAlerts \n#ANCNews'",2022-12-28,2325,20,130,UCvi6hEzLM-Z_unKPSuuzKvg,ANC 24/7,2010-01-29,1520000,71172
15,bQk8M-g2oGI,EXPLAINER: Can COVID-19 vaccines in the Philippines beat Delta?,'Subscribe: https://www.youtube.com/@Rappler/\n\nMore videos on Rappler: https://www.rappler.com/video Are COVID-19 vaccines still effective against the Delta variant? And can they continue to beat the virus as more transmissible variants emerge?\xa0Watch this Rappler explainer and listen to what health experts have to say.\n\nMore on this on Rappler: https://www.rappler.com/newsbreak/podcasts-videos/video-can-covid-19-vaccines-philippines-beat-delta-variant Follow Rappler for the latest news in the Philippines and around the world. \n\nSupport independent journalism. You can help power our investigative fund by donating to our crowdfunding: https://donate.rappler.com/',2021-08-06,128315,510,291,UCdnZdQxYXnbN4uWJg96oGxw,Rappler,2011-12-02,1950000,50435
16,wgFECk97EcE,Paano naiiba ang bilavent COVID-19 vaccines? | Need to Know,"'Nasa Pilipinas na ang bivalent vaccines na gagamitin daw na 3rd booster shot kontra COVID.\n\nAyon sa mga eksperto, mas mataas ang maibibigay na proteksyon ng bivalent vaccines at napapanahon na rin daw na ma-update ang ating boosters lalo na at may mga subvariant ang Omicron na mas nakahahawa. \n\nAno nga ba ang bivalent vaccines at ano ang pagkakaiba nito sa ibang bakuna kontra COVID-19? Alamin sa video.\n\n#GMAIntegratedNews #KapusoStream\n\nBreaking news and stories from the Philippines and abroad:\nGMA Integrated News Portal: http://www.gmanews.tv\nFacebook: http://www.facebook.com/gmanews\nTikTok: https://www.tiktok.com/@gmanews\nTwitter: http://www.twitter.com/gmanews\nInstagram: http://www.instagram.com/gmanews\n\nGMA Network Kapuso programs on GMA Pinoy TV: https://gmapinoytv.com/subscribe'",2023-06-04,8607,19,43,UCqYw-CTd1dU2yGI71sEyqNw,GMA Integrated News,2007-10-29,14200000,314978
17,WMEeUbTLTT4,Philippines begins legally rolling out first COVID-19 vaccines,"'Subscribe: https://www.youtube.com/@Rappler/\n\nMore videos on Rappler: https://www.rappler.com/video The Philippine government starts giving the first shots of a coronavirus vaccine on Monday, March 1. The vaccinations are part of the first batch of vaccines to arrive from China Sunday.\nRead: https://www.rappler.com/nation/philippines-begins-legally-rolling-out-covid-19-vaccine-march-1-2021\n\nFollow Rappler for the latest news in the Philippines and around the world. \n\nSupport independent journalism. Help us stay free and independent of political pressure and commercial interests: https://r3.rappler.com/crowdfunding\n\n\n\n_____________________________________________________________________\n\nFollow Rappler on Social Media:\n\nFacebook - https://www.facebook.com/rapplerdotcom\nTwitter - https://twitter.com/rapplerdotcom\nInstagram - http://instagram.com/rappler\nYouTube - https://www.youtube.com/rappler/?sub_confirmation=1\nSoundCloud - https://soundcloud.com/rappler\nGoogle+ - https://plus.google.com/+Rappler/\nTumblr - http://rappler.tumblr.com/\n\nhttp://www.rappler.com/ Follow Rappler for the latest news in the Philippines and around the world. \n\nSupport independent journalism. You can help power our investigative fund by donating to our crowdfunding: https://donate.rappler.com/'",2021-03-01,52697,109,0,UCdnZdQxYXnbN4uWJg96oGxw,Rappler,2011-12-02,1950000,50435
18,8yJE8RkCqWI,What Vaccines Do I Need for the Philippines?,"""Passport Health offers a variety of travel health tips and advice for your trip to the Philippines. From vaccinations to bug spray it's important to make sure you're prepared for your trip.\n\nFind out more at: https://passporthealthglobal.com""",2019-06-10,3745,44,0,UCwnMSnv_hcrl-GdPkFhKUUA,passporthealth,2009-02-16,821,53
19,ZTw3Brf3oCQ,"Donasyon na COVID vaccines sa mahihirap na bansa, mahihinto na sa pag-alis ng... | 24 Oras Weekend","'Donasyon na COVID vaccines sa mahihirap na bansa, mahihinto na sa pag-alis ng global health emergency ayon kay dating Health Sec. Garin\n\nNgayong hindi na iyan itinuturing na global health emergency, posibleng mahinto na raw ang pagdo-donate ng mga COVID vaccine sa ilang bansa tulad ng Pilipinas. Nakatutok si Dano Tingcungco.\n\n24 Oras Weekend is GMA Network’s flagship newscast, anchored by Ivan Mayrina and Pia Arcangel. It airs on GMA-7, Saturdays and Sundays at 5:30 PM (PHL Time). For more videos from 24 Oras Weekend, visit http://www.gmanews.tv/24orasweekend.\n\n#Nakatutok24Oras\n\nBreaking news and stories from the Philippines and abroad:\nGMA News and Public Affairs Portal: http://www.gmanews.tv\nFacebook: http://www.facebook.com/gmanews\nTwitter: http://www.twitter.com/gmanews\nInstagram: http://www.instagram.com/gmanews\n\nGMA Network Kapuso programs on GMA Pinoy TV: https://gmapinoytv.com/subscribe'",2023-05-07,13374,170,52,UCqYw-CTd1dU2yGI71sEyqNw,GMA Integrated News,2007-10-29,14200000,314978
